__time,terminal,flight,arrivals,departures
2007-08-31T23:00:00.000Z,Terminal 7,International,27500,32143
2007-08-31T23:00:00.000Z,Terminal 8,Domestic,103489,99652
2007-08-31T23:00:00.000Z,Terminal 8,International,3114,2774
2007-08-31T23:00:00.000Z,Tom Bradley International Terminal,International,397182,349220
2007-09-30T23:00:00.000Z,Imperial Terminal,Domestic,43,32
2007-09-30T23:00:00.000Z,Misc. Terminal,Domestic,278,335
2007-09-30T23:00:00.000Z,Terminal 1,Domestic,395874,389281
2007-09-30T23:00:00.000Z,Terminal 1,International,0,211
2007-09-30T23:00:00.000Z,Terminal 2,Domestic,96323,95768
2007-09-30T23:00:00.000Z,Terminal 2,International,150672,163815
2007-09-30T23:00:00.000Z,Terminal 3,Domestic,164666,157942
